k_dist,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12
1.296362432175337531e+00,3.282049230512484317e-01,3.339436637141990905e-01,4.298398885227190935e-01,4.354775163861502318e-01,5.216886642311627797e-01,5.372835340467022602e-01,5.574116204993569967e-01,6.151407973042519739e-01,6.433128665550780223e-01,6.457373154186433206e-01,6.505577836800742197e-01,6.863939116705534138e-01
1.313198307917874397e+00,3.257770140616320087e-01,3.301411678222020973e-01,4.284549271979967155e-01,4.326833330030772640e-01,5.241129658326869611e-01,5.425499223093366297e-01,5.589854685916806343e-01,6.212745890529234316e-01,6.390200432817082499e-01,6.444948176321183553e-01,6.481425145546102495e-01,6.884034097175109057e-01
1.330034183660411262e+00,3.236840799468217456e-01,3.268020763489056790e-01,4.272725719815292922e-01,4.302593534299097300e-01,5.262721282353347574e-01,5.476442545896241798e-01,5.602596917283270139e-01,6.268474682378893936e-01,6.347326571717502031e-01,6.434365133309013496e-01,6.460324616075134863e-01,6.903428704334456656e-01
1.346870059402948128e+00,3.219453295524977166e-01,3.239868113959111784e-01,4.262980711498142727e-01,4.282359703791775440e-01,5.281182548317268077e-01,5.523987952142568325e-01,5.612610665239591290e-01,6.306251869458814330e-01,6.317196063714981547e-01,6.425662343535123444e-01,6.442503318176479032e-01,6.921163021328508025e-01
1.363705935145484993e+00,3.205765242673244142e-01,3.217450538640425628e-01,4.255357020393928935e-01,4.266374703681243274e-01,5.296073953465121331e-01,5.565961761576119216e-01,5.620133502718068774e-01,6.269219333032147734e-01,6.357390485464901042e-01,6.418874954329207849e-01,6.428237687038729220e-01,6.936267701003079322e-01
1.380541810888021859e+00,3.195899706942716967e-01,3.201157235232383602e-01,4.249887831079863232e-01,4.254824857733829901e-01,5.307014590721182978e-01,5.599588693998395206e-01,5.625360769119257531e-01,6.239068146407874549e-01,6.387500797128972119e-01,6.414051112891639983e-01,6.417805251251695875e-01,6.947834698275316967e-01
1.397377686630558724e+00,3.189944957365669076e-01,3.191268426614621845e-01,4.246596789362462321e-01,4.247842347500421223e-01,5.313706592212903423e-01,5.621680268056553631e-01,5.628437647645737618e-01,6.219039159003703077e-01,6.405867364639458161e-01,6.411428165287996750e-01,6.411512396093487220e-01,6.955111926791011090e-01
1.414213562373095590e+00,3.187951737898679916e-01,3.187955693190428486e-01,4.245489522164805352e-01,4.245514757614912149e-01,5.315959216709600366e-01,5.629431026053572928e-01,5.629453200189844519e-01,6.211971960956290673e-01,6.409291285097701296e-01,6.409335787369782045e-01,6.413428549850567206e-01,6.957595803596023920e-01
1.455452867315211840e+00,3.166344043830356947e-01,3.166348330301086977e-01,4.263667522843846425e-01,4.263692433264303361e-01,5.316920057544259892e-01,5.630083668810843545e-01,5.630105789866972632e-01,6.212898440394396538e-01,6.410213736572729637e-01,6.410258568359425979e-01,6.412201589580664995e-01,6.956573311440624741e-01
1.496692172257327869e+00,3.105481524795640214e-01,3.105486482018016137e-01,4.314223898615954789e-01,4.314248123088947340e-01,5.319811480512459667e-01,5.632053226429242221e-01,5.632075293985226994e-01,6.215664168905956632e-01,6.408473211254116508e-01,6.412946082326149710e-01,6.412990115233350163e-01,6.953497233238828956e-01
